class,clock,entityId,eventId,eventTime,eventType,options,periodId,personId,playId,sequence,subType,success,timestamp
clock,PT12M5S,,568b62e1-38b2-1595-99c5-a2c808040db0,2023-08-24T17:42:05.2,main,,2,,,251,start,,2023-08-24T17:42:05.2
clock,PT12M53S,,6a407649-b45d-16e8-a941-a058e8e57a10,2023-08-24T17:42:53.1,main,,2,,,252,stop,,2023-08-24T17:42:53.1
clock,PT12M53S,,c6a65344-8e91-15de-ac23-6c4337dfb9f7,2023-08-24T17:42:53.2,main,,2,,,253,start,,2023-08-24T17:42:53.2
clock,PT12M55S,,f8df8421-27d6-13f0-972a-a913db4d3b9b,2023-08-24T17:42:55.1,main,,2,,,254,stop,,2023-08-24T17:42:55.1
clock,PT12M55S,,43c33847-9929-1241-8be7-898867ca3693,2023-08-24T17:42:55.2,main,,2,,,255,start,,2023-08-24T17:42:55.2
sport,PT12M56S,fe8d1885-3952-11ef-9130-af5c55c3771d,57d5d6ee-d928-1bad-806e-def34bdd9a13,2023-08-24T17:42:56.1,technicalFault,,2,5229986a-3953-11ef-a0a0-a9530db97767,57d5d6ee-d928-1bad-806e-def34bdd9a13,256,ruleFault,,2023-08-24T17:42:56.1
sport,PT13M1S,fe8d1885-3952-11ef-9130-af5c55c3771d,76f22017-acaa-1fc9-ad40-95ca18261251,2023-08-24T17:43:01.1,goalKeeperChange,{'emptyNet': False},2,e834a72e-3954-11ef-8893-0119270b4993,76f22017-acaa-1fc9-ad40-95ca18261251,257,,,2023-08-24T17:43:01.1
sport,PT13M20S,fea93a14-3952-11ef-a7e0-af5c55c3771d,0fb137ca-89e7-13ea-aa02-3d9ca9799bd0,2023-08-24T17:43:20.1,goal,"{'emptyNet': False, 'failureReason': 'OFF_TARGET', 'goalKeeperId': 'e834a72e-3954-11ef-8893-0119270b4993', 'location': 'CENTRE'}",2,f9821870-3955-11ef-8ff7-e79bf7b1fa4b,0fb137ca-89e7-13ea-aa02-3d9ca9799bd0,258,nineMetre,False,2023-08-24T17:43:20.1
sport,PT13M30S,fe8d1885-3952-11ef-9130-af5c55c3771d,f05a52f1-1338-1670-953d-f939ec9a5c2b,2023-08-24T17:43:30.1,goalKeeperChange,{'emptyNet': True},2,,f05a52f1-1338-1670-953d-f939ec9a5c2b,259,,,2023-08-24T17:43:30.1
sport,PT13M32S,fe8d1885-3952-11ef-9130-af5c55c3771d,8be818ea-9cea-1051-a50d-b6eaaa329a1c,2023-08-24T17:43:32.1,timeOut,,2,,8be818ea-9cea-1051-a50d-b6eaaa329a1c,260,team,,2023-08-24T17:43:32.1
clock,PT13M32S,,e78af2dc-9996-182e-8fb4-0b63d8e7d1aa,2023-08-24T17:43:32.2,main,,2,,,261,start,,2023-08-24T17:43:32.2
sport,PT13M38S,fe8d1885-3952-11ef-9130-af5c55c3771d,59141a28-db4d-1528-a75d-632c8485e11f,2023-08-24T17:43:38.1,goalKeeperChange,{'emptyNet': False},2,e834a72e-3954-11ef-8893-0119270b4993,59141a28-db4d-1528-a75d-632c8485e11f,262,,,2023-08-24T17:43:38.1
clock,PT13M39S,,c3e61bfa-0a6a-17a7-98ca-454c57429504,2023-08-24T17:43:39.1,main,,2,,,263,stop,,2023-08-24T17:43:39.1
clock,PT13M59S,,e798cfde-7e04-1ffd-a71b-c7f2ebb4b5fa,2023-08-24T17:43:59.1,main,,2,,,264,stop,,2023-08-24T17:43:59.1
clock,PT13M59S,,c46919cb-87c1-1302-83ac-2a9b26bb764c,2023-08-24T17:43:59.2,main,,2,,,265,start,,2023-08-24T17:43:59.2
clock,PT14M12S,,5f974b1a-10a1-16b8-8619-1444a3317ff9,2023-08-24T17:44:12.1,main,,2,,,266,stop,,2023-08-24T17:44:12.1
clock,PT14M12S,,d45a5557-1b38-18a0-9825-d446a0fb98ad,2023-08-24T17:44:12.2,main,,2,,,267,start,,2023-08-24T17:44:12.2
sport,PT14M45S,fe8d1885-3952-11ef-9130-af5c55c3771d,728af4fe-db4d-1620-ae5f-be1ac7bfc92b,2023-08-24T17:44:45.1,goal,"{'emptyNet': False, 'goalKeeperId': '44b187b6-3953-11ef-9e2b-855e48b08f9c', 'location': 'RIGHT'}",2,e9161b82-3954-11ef-af2c-0119270b4993,728af4fe-db4d-1620-ae5f-be1ac7bfc92b,268,wing,True,2023-08-24T17:44:45.1
sport,PT14M45S,fe8d1885-3952-11ef-9130-af5c55c3771d,4e64bd9a-c85b-172f-8e46-9ae224fd1b9f,2023-08-24T17:44:45.2,assist,,2,458c7c77-3953-11ef-b1d0-855e48b08f9c,728af4fe-db4d-1620-ae5f-be1ac7bfc92b,269,,True,2023-08-24T17:44:45.2
clock,PT14M51S,,e2ebc8ad-1a8b-1bd4-afb1-8f9915051ab0,2023-08-24T17:44:51.1,main,,2,,,270,stop,,2023-08-24T17:44:51.1
clock,PT14M51S,,dbf8e2ed-b33b-10ea-903d-e2a4eca9d50b,2023-08-24T17:44:51.2,main,,2,,,271,start,,2023-08-24T17:44:51.2
sport,PT14M52S,fe8d1885-3952-11ef-9130-af5c55c3771d,cdcfee89-27e5-1db2-a63b-63a3b93b7ce6,2023-08-24T17:44:52.1,suspension,,2,f5f23435-3953-11ef-9360-7f8c67faf7e7,cdcfee89-27e5-1db2-a63b-63a3b93b7ce6,272,twoMinutes,,2023-08-24T17:44:52.1
clock,PT15M6S,,389d4cd7-b97f-1906-871e-23d63644262a,2023-08-24T17:45:06.1,main,,2,,,273,stop,,2023-08-24T17:45:06.1
